Taxon;I;II;II/III;III;IV;V;VI;VII;VIII;IX;Ordre
Gerbillus_nanus;0;0;0.333;0.333;0.333;0;0;0;0;0;RODENTIA
Gerbillus_pyramidum;0;0;0;1;0;0;0;0;0;0;RODENTIA
Gerbillus_simoni;0;0;0;0;1;0;0;0;0;0;RODENTIA
Glirulus_japonicus;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Glis_glis;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Hylopetes_phayrei;0.5;0.5;0;0;0;0;0;0;0;0;RODENTIA
Hystrix_brachyura;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Hystrix_cristata;0.25;0.25;0.25;0;0.25;0;0;0;0;0;RODENTIA
Hystrix_indica;0;0.2;0.2;0.2;0.2;0;0;0.2;0;0;RODENTIA
Jaculus_blanfordi;0;0;0.333;0;0.333;0;0;0.333;0;0;RODENTIA
Jaculus_jaculus;0;0.333;0.333;0;0.333;0;0;0;0;0;RODENTIA
Jaculus_orientalis;0;0;0;0;1;0;0;0;0;0;RODENTIA
Lagurus_lagurus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Lasiopodomys_gregalis;0;0;0;0;0;0;0;0.333;0.333;0.333;RODENTIA
Lasiopodomys_mandarinus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Lemmus_amurensis;0;0;0;0;0;0;0;0;1;0;RODENTIA
Lemmus_sibiricus;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Lemniscomys_barbarus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Leopoldamys_edwardsi;0;0.5;0;0;0;0.5;0;0;0;0;RODENTIA
Marmota_baibacina;0;0;0;0;0;0;0.333;0.333;0.333;0;RODENTIA
Marmota_camtschatica;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Marmota_himalayana;0;0;0;0;0;0;0;1;0;0;RODENTIA
Massoutiera_mzabi;0;0;0;1;0;0;0;0;0;0;RODENTIA
Meriones_crassus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Meriones_libycus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Meriones_meridianus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Meriones_persicus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Meriones_rex;0;0;0;1;0;0;0;0;0;0;RODENTIA
Meriones_shawi;0;0;0;0;1;0;0;0;0;0;RODENTIA
Meriones_tamariscinus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Meriones_tristami;0;0;0;0;0.333;0;0.333;0;0.333;0;RODENTIA
Meriones_unguiculatus;0;0;0;0;0;0;0.333;0.333;0.333;0;RODENTIA
Mesocricetus_auratus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Micromys_minutus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_agrestis;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_arvalis;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_duodecimcostatus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Microtus_fortis;0;0;0;0;0;0;1;0;0;0;RODENTIA
Microtus_irani;0;0;0;0;1;0;0;0;0;0;RODENTIA
Microtus_majori;0;0;0;0;0;0.333;0.333;0.333;0;0;RODENTIA
Microtus_maximowiczii;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Alexandromys_middendorffi;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Microtus_montebelli;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Alexandromys_oeconomus;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Microtus_gerbii;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_mystacinus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Microtus_socialis;0;0;0;0;0.5;0;0;0.5;0;0;RODENTIA
Microtus_subterraneus;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Microtus_thomasi;0;0;0;0;0.5;0;0.5;0;0;0;RODENTIA
Mus_caroli;0;1;0;0;0;0;0;0;0;0;RODENTIA
Mus_macedonicus;0;0;0;0;0.5;0;0.5;0;0;0;RODENTIA
Mus_musculus;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;RODENTIA
Mus_pahari;0.5;0.5;0;0;0;0;0;0;0;0;RODENTIA
Mus_spretus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Muscardinus_avellanarius;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Myodes_centralis;0;0;0;0;0;0;0;1;0;0;RODENTIA
Myodes_glareolus;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Myodes_regulus;0;0;0;0;0;0;1;0;0;0;RODENTIA
Myodes_rufocanus;0;0;0;0;0;0;0;0;1;0;RODENTIA
Myodes_rutilus;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Myodes_smithii;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Myopus_schisticolor;0;0;0;0;0;0;0;0;1;0;RODENTIA
Myospalax_psilurus;0;0;0;0;0;0;0.25;0.25;0.25;0.25;RODENTIA
Nannospalax_ehrenbergi;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Nesokia_indica;0;0;0.25;0.25;0.25;0;0;0.25;0;0;RODENTIA
Niviventer_confucianus;0;0.333;0;0;0;0.333;0.333;0;0;0;RODENTIA
Niviventer_fulvescens;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Pachyuromys_duprasi;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Petaurista_alborufus;0;0;0;0;0;1;0;0;0;0;RODENTIA
Petaurista_elegans;1;0;0;0;0;0;0;0;0;0;RODENTIA
Petaurista_leucogenys;0.333;0;0;0;0;0.333;0.333;0;0;0;RODENTIA
Petaurista_petaurista;0.2;0.2;0;0;0;0.2;0.2;0;0.2;0;RODENTIA
Petaurista_philippensis;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Phaiomys_leucurus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Phodopus_campbelli;0;0;0;0;0;0;0;1;0;0;RODENTIA
Phodopus_roborovskii;0;0;0;0;0;0;0;1;0;0;RODENTIA
Psammomys_obesus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Pteromys_momonga;0;0;0;0;0;0.5;0.5;0;0;0;RODENTIA
Pteromys_volans;0;0;0;0;0;0;0;0;1;0;RODENTIA
Pygeretmus_platyurus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Pygeretmus_pumilio;0;0;0;0;0;0;0;1;0;0;RODENTIA
Pygeretmus_shitkovi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Rattus_andamanensis;0.333;0.333;0;0;0;0.333;0;0;0;0;RODENTIA
Rattus_losea;0;0.5;0;0;0;0.5;0;0;0;0;RODENTIA
Rattus_nitidus;0;0.25;0;0;0;0.25;0.25;0;0.25;0;RODENTIA
Rattus_norvegicus;0;0;0;0;0.25;0.25;0.25;0;0.25;0;RODENTIA
Rattus_pyctoris;0;0;0;0;0;0;0;1;0;0;RODENTIA
Rattus_rattus;0.143;0.143;0.143;0.143;0.143;0.143;0.143;0;0;0;RODENTIA
Rattus_tanezumi;0.2;0.2;0;0;0;0.2;0.2;0.2;0;0;RODENTIA
Rhizomys_pruinosus;0.2;0.2;0;0;0;0.2;0;0.2;0.2;0;RODENTIA
Rhizomys_sinensis;0;0.333;0;0;0;0.333;0.333;0;0;0;RODENTIA
Rhombomys_opimus;0;0;0;0.333;0.333;0;0.333;0;0;0;RODENTIA
Salpingotus_crassicauda;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Salpingotus_kozlovi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Salpingotus_pallidus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Sciurus_anomalus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Sciurus_lis;0;0;0;0;0;0.333;0.333;0;0.333;0;RODENTIA
Sciurus_vulgaris;0;0;0;0;0.333;0;0.333;0;0.333;0;RODENTIA
Sicista_betulina;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Sicista_subtilis;0;0;0;0;0;0;0;1;0;0;RODENTIA
Sicista_tianshanica;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spalax_giganteus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spermophillus_xanthoprymnus;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Spermophilopsis_leptodactylus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_dauricus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_erythrogenys;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_fulvus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_major;0;0;0;0;0;0;0;1;0;0;RODENTIA
Urocitellus_parryii;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Spermophilus_pygmaeus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_relictus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Urocitellus_undulatus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Stylodipus_andrewsi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Stylodipus_telum;0;0;0;0;0;0;0;1;0;0;RODENTIA
Tamiops_maritimus;0;0.5;0;0;0;0.5;0;0;0;0;RODENTIA
Tatera_indica;0.2;0.2;0.2;0.2;0.2;0;0;0;0;0;RODENTIA
Tscherskia_triton;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Typhlomys_cinereus;0;0;0;0;0;0.25;0.25;0.25;0.25;0;RODENTIA
Spermophilus_citellus;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Microtus_lusitanicus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Microtus_cabrerae;0;0;0;0;1;0;0;0;0;0;RODENTIA
Microtus_savii;0;0;0;0;1;0;0;0;0;0;RODENTIA
Sorex_alpinus;0;0;0;0;0;0;0.333;0;0.333;0.333;EULIPOTYPHLA
Arvicola_italicus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Talpa_aquitania;0;0;0;0;0;0;1;0;0;0;EULIPOTYPHLA
Microtus_rozianus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_lavernedii;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
